entry_idx,exit_idx,entry_ts,exit_ts,side,entry,stop,target,exit_price,exit_reason,gross_ret,net_ret,risk_pct,r_multiple
499,525,2024-01-03 16:35:00+00:00,2024-01-03 18:45:00+00:00,short,20.33145,20.361451676878858,20.271446646242286,20.361451676878858,stop,-0.0014756289826283187,-0.0016756289826283187,0.0014756289826282608,-1.1355354233476087
728,732,2024-01-04 11:40:00+00:00,2024-01-04 12:00:00+00:00,short,20.47295,20.484896481310635,20.449057037378733,20.449057037378733,target,0.0011670503088840878,0.0009670503088840878,0.0005835251544420334,1.6572555610760697
1086,1100,2024-01-05 17:30:00+00:00,2024-01-05 18:40:00+00:00,short,20.4068,20.4601574595755,20.300085080849005,20.4601574595755,stop,-0.0026146901805035316,-0.0028146901805035317,0.0026146901805034475,-1.0764908976271461
2522,2594,2024-01-12 18:10:00+00:00,2024-01-15 01:10:00+00:00,long,20.45555,20.427818898581915,20.511012202836167,20.4833,time,0.001356600042531353,0.0011566000425313528,0.0013556761572328234,0.853153635186021
2993,3026,2024-01-16 10:25:00+00:00,2024-01-16 13:10:00+00:00,short,20.4004,20.427178722954586,20.34684255409083,20.34684255409083,target,0.0026253135188119003,0.0024253135188119002,0.0013126567594059565,1.847637243769529
3060,3073,2024-01-16 16:00:00+00:00,2024-01-16 17:05:00+00:00,short,20.3615,20.406902664754906,20.270694670490187,20.270694670490187,target,0.004459658154350787,0.004259658154350788,0.002229829077175375,1.910307025790686
3089,3094,2024-01-16 18:25:00+00:00,2024-01-16 18:50:00+00:00,long,20.26795,20.24456811978614,20.314713760427715,20.24456811978614,stop,-0.0011536381436632048,-0.001353638143663205,0.0011536381436631675,-1.173364585702419
3105,3177,2024-01-16 19:45:00+00:00,2024-01-17 01:45:00+00:00,long,20.28745,20.241208026362443,20.379933947275113,20.2971,time,0.00047566352597305794,0.00027566352597305796,0.0022793388837708314,0.1209401233905478
3186,3220,2024-01-17 02:30:00+00:00,2024-01-17 05:20:00+00:00,short,20.2863,20.332230363211746,20.19443927357651,20.19443927357651,target,0.0045282149245299275,0.004328214924529928,0.002264107462264946,1.9116649694217451
3532,3589,2024-01-18 07:20:00+00:00,2024-01-18 12:05:00+00:00,short,20.1165,20.143996334132073,20.06150733173585,20.143996334132073,stop,-0.0013668547775247397,-0.0015668547775247398,0.001366854777524629,-1.1463213226031146
